#separator:tab
#html:true
#tags column:9
ところだ	Sắp sửa	時刻は間もなく３じになるところだ。	Sắp sửa đến 3h rồi.			Diễn tả một hành động hay một sự thay đổi ở vào giai đoạn “ngay trước khi xảy ra”.	<div>V-る + ところだ</div><div>Lưu ý: ところだった Suýt nữa</div>	thoigian.diadiem
くらい	Khoảng chừng, đến mức	山で事故にあった兄が無事に帰ってきた。大声でよびたいくらいうれしい。	Người anh gặp tai nạn trên núi của tôi đã về rồi. Tôi vui sướng đến mức muốn hét to lên.					mucdo.sosanh
にかぎる	Là nhất	１日の仕事を終えた後は冷えたビールにかぎりますよ。	Xong việc của một ngày thì uống bia lạnh là nhất đấy.	疲れた時は温泉に行くに限るね。	Những lúc mệt mỏi, đi tắm suối nước nóng là tuyệt nhất nhỉ.	<div>限る (かぎる) có nghĩa đen của từ là “giới hạn”. Mẫu câu này được sử dụng để đưa ra một cách làm, một phương pháp, hành động tối ưu nhất, là phương pháp đã tốt tới “giới hạn”, không thể tốt hơn được. Phần phía trước に限る là lựa chọn, hành động tốt nhất theo chủ quan của người nói, không sử dụng cho sự vật, hiện tượng tự nhiên.</div>	N + に限る<br>Na + に限る<br>Aの + に限る<br>V-る + に限る	mucdo.sosanh
にくらべて	So với	本が好きでおとなしいあににくらべて、弟は活動的で、スポーツが得意だ。	So với anh trai hiền lành của thích đọc sách của tôi thì đứa em hoạt bát lanh lợi và có năng khiếu đá bóng.					mucdo.sosanh
ほど～はない	Không gì tốt/tuyệt vời bằng	東京ほど家賃の高いところはない。	Không có nơi nào tiền nhà lại mắc như Tokyo.	これほどすばらしい作品は他にありません。	Không có tác phẩm nào tuyệt vời như tác phẩm này.	<div>Phần danh từ chính là đối tượng được người nói đánh giá là nhất. Mẫu câu này khi sử dụng mang tính chủ quan của người nói, không phải sự vật hiện tượng hiển nhiên, khách quan.<br></div>	N + ほど… はない	mucdo.sosanh
ほど	Đến nỗi	昨日は山登りに行って、もう１歩もあけないほどつかれました。	Hôm qua đi leo núi. Tôi đã mệt tới mức không thể đi tiếp nữa, dù chỉ một bước.					mucdo.sosanh
かわりに	Mặt khác, đổi lại	ジムさんに英語を教えてもらう代わりに、彼に日本語を教えてあげることにした。	Quyết định là/ Chốt lại là Jim dạy tiếng Anh cho tôi, đổi lại thì tôi dạy tiếng Nhật cho anh ấy.					tuongphan.doilap
AかわりにB	Làm B thay cho làm A	雨が降ったのでテニスの練習をするかわりにうちでテレビを見て過ごしました。	Vì trời mưa nên thay vì chơi tennis thì tôi ngồi nhà xem ti vi.			"<div>Diễn tả ý nghĩa ""người, vật được thay thế là sự bù đắp hoặc lựa chọn cho người, vật khác"".<br></div>"	V・A・Naな・Nの + かわりに	tuongphan.doilap
AというよりB	Gọi là B thì đúng hơn gọi là A	野村さんは、学校の先生というより、銀行員のようだ。	Anh Nomura giống nhân viên ngân hàng hơn là giáo viên dạy học.	ハーさんは歩くのは速い。歩くというより走るという感じだ。	Hà đi bộ nhanh. Thay vì nói là đi thì có cảm giác là chạy hơn.	Mẫu câu này dùng để đưa ra cách nhìn nhận thích hợp hơn về một vấn đề. Dùng để so sánh cách phán đoán hoặc diễn đạt về một sự việc nào đó. Có ý nghĩa các nói A cũng đúng nhưng so với A thì cách nói B đúng hơn.	Câu đưa ra để so sánh というより	tuongphan.doilap
にかわって	Đại diện cho	木村先生は急用で学校へいらっしゃれません。それで今日は木村先生にかわって私が授業をします。	Thầy Kimura vì việc bận mà không đến trường. Vì thế mà hôm nay tôi dạy thay thầy Kimura.					tuongphan.doilap
にたいして	Trái ngược với (dùng để so sánh các đối tượng)	活発な姉に対して、妹は静かなタイプだ。	Trái với người chị lanh lợi, em gái thuộc tuýp người trầm tính.					tuongphan.doilap
Aにはんして	Trái với A (予想 – tưởng tượng、期待- kì vọng、命令- mệnh lệnh、意図いと-chủ ý)	予想に反して試験はとても易しかったです。	Bài thi rất dễ, hoàn toàn trái với tưởng tượng.					tuongphan.doilap
はんめん	Mặt khác	彼女はいつも明るい反面、厳しがりやでもあります。	Cô ấy lúc nào cũng rạng rỡ nhưng cũng có phần nghiêm khắc.	この薬はよく効く反面、副作用も強い。	Loại thuốc này rất công hiệu nhưng ngược lại, tác dụng phụ cũng rất mạnh.	Mẫu câu này được sử dụng thể hiện hai mặt trái ngược nhau của một vấn đề. Thông thường, phần phía trước反面(はんめん) là mặt tốt của vấn đề, phần phía sau là mặt khác không tốt ở vấn đề đó.	反面	tuongphan.doilap
おかげで	Nhờ vào (mang ý hàm ơn)	気候が温暖なおかげで、このあたりで作られるみかんは甘くておいしいと評判です。	Nhờ khí hậu ấm áp, cam trồng ở vùng này được nhận xét là ngon và ngọt.					nguyennhan.lydo
から	Vi (chỉ ra nguyên nhân dẫn tới hệ quả)	タバコの火の消し忘れから火事になった。	Vì quên dập tàn thuốc lá mà thành hỏa hoạn.					nguyennhan.lydo
からには	Vì (dẫn tới hệ quả đương nhiên)	引き受けたからには、最後まできちんとやる責任がある。	Vì nhận rồi nên có trách nhiệm tới cùng.			Đi kèm với べきだ、つもりだ、はずだ、にちがいない、てはいけない		nguyennhan.lydo
せいで	Tại vì (hàm ý trách móc)	山田さんは急に休んだせいで、今日は３時間も残業しなければならなかった。	Tại vì anh Yamada đội nhiên nghỉ mà hôm nay tôi đã phải làm thêm 3 tiếng đồng hồ.					nguyennhan.lydo
によって	Bởi vì nguyên nhân, lí do	外界生活を経験したことによって、視野しやが広がった。	Bởi những trải nghiệm cuộc sống ở nước ngoài nên tầm nhìn của tôi rộng hơn.	私の不注意な発言によって、彼を傷つけてしまった。	Do phát ngôn bất cẩn tôi đã làm tổn thương anh ấy.	Đi sau một danh từ, và diễn tả ý nghĩa “đó là nguyên nhân”. Theo sau là cách nói chỉ kết quả.	chú ý dạng N によるN	nguyennhan.lydo
ことになっている	Thói quen, quy tắc, quy định, quyết định của tập thể	この会社では社員は１年に１回健康診断を受けることになっている。	Ở công ty này có quy ước là nhân viên mỗi năm kiểm tra sức khỏe một lần.					nguyennhan.lydo
ようがない	Không đời nào, không còn cách nào khác	この時計はもう部品がないから、直しようがない。	Vì đồng hồ này không có linh kiện thay thế nên chỉ có cách sửa.					khanang
られる	Có thể	そんなに早くは起きられない。	Tôi không thể dậy sớm như thế.	私は日本語の新聞が読めます。	Tôi có thể đọc báo tiếng Nhật.			khanang
わけにはいかない	<div><div>Không thể…,không nên….</div></div>	明日は試験があるから、今日は遊んでいるわけにはいかない。	Ngày mai có bài kiểm tra nên hôm nay không thể chơi được.	今日車で来たんです。お酒を飲むわけにはいきません。	Hôm nay tôi lái xe đến đây nên (muốn lắm mà) không thể uống rượu cùng mọi người.	Câu nói mang ý rằng vì lí do tâm lí, năng lực, tình huống đặc biệt,… nên cũng muốn mà không thể làm được một việc gì đó. Chủ thể thường là người nói. Cụ thể mẫu câu này diễn tả cảm giác không thể làm gì vì điều đó là sai, là không hợp lí, là vô trách nhiệm, là không đúng bổn phận,…	V-る ＋ わけにはいかない	khanang
ように	Để có thể, để mà	風が早く治るように注射を打ってもらいました。	Để có thể khỏi cảm cúm nhanh thì tôi đã đi tiêm.			Dùng để chỉ lời khuyên. Dùng để chỉ mục đích. Dùng để thỉnh cầu.	Chú ý: Cả vế trước và vế sau đi với động từ riêng biệt. Cũng có khi sử dụng lược bỏ trợ từ に	mucdich
といっても	Cho dù nói là	私は住んでいるところはマンションといっても、９戸だけの小さなものです。	Nơi tôi đang sống gọi là chung cư cao cấp nhưng chỉ là tòa nhà có 9 căn hộ.					dieukiennhuongbo
さえ～ば	Chỉ cần...(là đủ)	これは薬を飲みさえすれば直るという病気ではない。入院が必要だ。	Đây không phải là bệnh chỉ cần uống thuốc là chữa khỏi được. Cần phải vào viện.	早く出かけさえすればよい席がとれる。	Chỉ cần đi sớm là có thể lấy được chỗ đẹp.	Đưa ra điều kiện tối thiểu nhất để điều gì đó có thể xảy ra. Trong đó, phần vế câu được hình thành bởi 〜さえ〜ば(なら) là điều kiện mà chỉ cần nó được thực hiện, vế câu phía sau cũng sẽ xảy ra. Hay nói cách khác, vế trước là điều kiện thấp nhất cần có để vế sau có thể thực hiện được.	Nさえ…ば<br>Vます -さえ + すれば<br>V-てさえ…V-ば<br>Nghi vấn từ ...かさえ...V-ば	dieukien
たら～だろう	Giá mà (thể hiện sự tiếc nuối)	先月お会いした時、彼が日本に戻っているのを知っていたら、お話したでしょうに。	Lúc gặp anh ấy tháng trước, giá mà biết chuyện anh ấy					dieukien
と～のに	Giả sử (điều kiện không có thật)	「昨日のパーティは楽しかったですよ。木村さんも来られるとよかったのに。」	<div>Buổi tiệc hôm qua vui nhỉ. Anh Kimura cũng đến thì vui.&nbsp;</div>					dieukien
と～る	Khi ...thì lại ...(hành động không chủ ý)	紀子が「タロー」と呼ぶと、その犬は走る。	Hikiko cứ gọi “Taro’ là con chó lại chạy đến.					dieukien
と～た	Khi ...thì phát hiện ra	本を読んでいると、窓から鳥が入ってきました。	Khi tôi đang đọc sách thì có con chim nhảy từ cửa sổ vào.			Lưu ý: chủ ngữ của 2 vế khác nhau		dieukien
と	Nếu ...thì ....(những điều đã trở thành quy luật, quy tắc)	兄は上着を着ると、黙って出て行きました。	Anh trai tôi mặc quần áo rồi lặng lẽ ra khỏi nhà.					dieukien
としたら	Nếu giả sử	もし、ここに１００万円あったとしたら、何に使いますか。	Nếu có một trăm vạn yên thì bạn sẽ sử dụng vào việc gì?					dieukien
とすると	Nếu giả sử	医学部に入るとすると、一体どのくらいお金が必要なのだろうか。	Giả sử vào học ngành Y thì không biết phải cần bao nhiêu tiền nhỉ?	もし、今後も雨が降らないとすると、水不足になるのは避けられないだろう。	Giả sử từ giờ trở đi mà không mưa thì không thể tránh được tình trạng thiếu nước.	"Diễn tả ý nghĩa tuy không biết có phải là sự thật hoặc có thể thực hiện được hay không, nhưng ""giả sử là thật/ trong trường hợp thực hiện được thì..."". Cũng có trường hợp đi với 「かりに/　もし」."		dieukien
とすれば	Nếu giả sử	時給８００円で１日４時間、１週間に５日働くとすれば、１週間で１万６０００円になる。	Giả sử lương theo giờ là 800 Yên/4h, một tuần làm 5 ngày thì một tuần sẽ là 1 vạn 600 yên.					dieukien
ば～のに	Giá mà ...thì...	お金があれば買うんだけどなあ。（お金が無いから買えない。）	Nếu có tiền thì tôi sẽ mua ngay thôi. ( Vì không có tiền nên không thể mua)	「それで、遅れたんですか。山田さんと一緒に来ればよかったのに。」	Thế là đến muộn à? Giá mà đi cùng anh Yamada thì tốt.	"Đây là câu "" Điều kiện trái sự thực"" có dạng「 XばYのに/ のだが/ のだけれど」. Vị ngữ ở vế Y có thể ở dạng từ điển hoặc thể た.&nbsp;<div>&nbsp; &nbsp;- Dạng từ điển -&gt; than vãn đối với hiện trạng hoặc mong mỏi một điều khác với hiện trạng.</div><div>&nbsp; &nbsp;- Dạng た -&gt; giả định khác với sự thực trong quá khứ.&nbsp;</div><div>&nbsp; &nbsp;- Dạng　V-ていればV-ている -&gt; ""nếu sự tình khác đi thì chắc chắn không có tình trạng như hiện nay"".</div><div><br></div><div>Nếu ở cuối câu có のに/ のだが/ のだけれど thì càng rõ rằng đây là những "" câu điều kiện trái ngược sự thực"".<br></div>"		dieukien
たとえ～ても	Cho dù	たとえ雪が降っても仕事は休めません。	Cho dù tuyết rơi thì tôi cũng không nghỉ việc.					dieukiennhuongbo
としても	Cho dù (với tư cách)	忙しいにしても連絡はしなさい。	Mặc dù bận nhưng hãy liên lạc đi.	どんな人間にしろ長所はあるものだ。	Dù là người nào thì cũng có sở trường.	Mẫu cấu trúc có hình thức XとしてもY, diễn tả ý nghĩa “cho dù X là có thực đi nữa, có được thực hiện đi nữa thì cũng không có tác dụng tới việc hình thành hay cản trở Y”. Y được dùng để diễn tả một sự việc trái với những mong đợi hay dự đoán từ X.		dieukiennhuongbo
かける	Gần xong, hoàn thành một phần	風邪は治りかけたが、またひどくなってしまった。	Gần khỏi cảm lạnh nhưng lại bị nặng hơn.	<div>この漫画はまだ読みかけだ。</div>	<div><div>Tôi vẫn chưa đọc xong quyển Manga này.</div></div>	<div><div>Vます + かけだ / かけのN / かける</div></div><div><br></div><div><div><div>Chỉ trạng thái giữa chừng, hành động còn chưa kết thúc, vẫn đang trong quá trình thực hiện.</div></div></div>		batdau.ketthuchanhdong.cochuy
きる	Hoàn thành, xong hết	５巻まである長い小説を夏休み中に全部読み切った。	Tôi đã đọc xong hết cuốn tiểu thuyết dài tận 5 tập.					batdau.ketthuchanhdong.cochuy
だらけ	(phủ) đầy	子供たちは泥だらけになって遊んでいる。	Tụi trẻ chúng tôi đang chơi trong khi người lấm lem bùn.					hinhdang.trangthai
ようにして	Cố gắng để	お金がないですから、ご飯は家で食べるようにしています。	Vì không có tiền nên dạo này tôi cố gắng ăn cơm ở nhà.					hinhdang.trangthai
AかとおもうほどB	Quá B đến nỗi mà A	雪解ゆきどけの水は指が切れるかと思うほど冷たい。	Nước từ tuyết tan ra quá lạnh đến mức tưởng chừng có thể làm đứt cả tay.					sosanh
がち	Dễ, có xu hướng	森さんは小学校４年生のとき体を悪くして、学校もとかく休みがちだった。	Anh Mori hồi năm 4 tiểu học sức khỏe yếu nên hay nghỉ học.					khuynhhuong.xuhuong
てほしい	Muốn người	クラス会の予定が決まったら、すぐ私に知らせてほしいのですが。よろしくお願いします。	Nếu quyết định họp lớp thì vui lòng thông báo cho tôi ngay nhé.					khuynhhuong.xuhuong
V-ようとしない	<div><div>Không có ý định..., không chịu...</div></div><div><div></div></div>	リーさんは病気の時でも、医者に行こうとしません。	Li bị ốm nhưng mà không có ý định đi bác sĩ.	このカメラを買おうとしない。なぜならば、偽者(にせも)のようだ。	Tôi không có ý định mua cái máy ảnh này. Vì nó trông giống đồ giả.	<div><div>V-よう &nbsp;+ &nbsp;としない<br><br></div></div><div><div><div>Đi với những động từ chỉ hành vi có chủ ý để diễn tả rằng không có ý muốn thực hiện hành vi đó.</div></div></div>		dudinh
べきだ	Phải, nên (lời khuyên)	１万円拾ったんだって。そりゃあ、すぐに警察に届ける<b>べきだ</b>よ。	Nhặt được một vạn yên thì phải đến nộp cảnh sát ngay chứ.					loikhuyen
こと	Nên, phải (yêu cầu, mệnh lệnh)	レポートは１０日までに提出すること。	Báo cáo phải nộp trước mùng 10.					yeucau.nhova
させてくれませんか	Làm giúp tôi có được không?	山田さん、すみませんが、週末、車を使わせてくれませんか。	Xin lỗi, Yamada này, cuối tuần này cho tôi dùng ô tô có được không?					yeucau.nhova
させてもらえませんか	(Bạn) có phiền không nếu tôi ...?	「すみませんが、電話をかけさせてもらえませんか。」	Xin lỗi, tôi có thể gọi điện thoại được không?					yeucau.nhova
ことはない	Không cần phải	簡単な手術だから、心配することはありません。すぐに退院できますよ。	Vì đây là thủ thuật đơn giản nên bạn không cần lo lắng quá. Sẽ được xuất viện ngay thôi.					camdoan
おそれがある	E rằng, sợ rằng	この地震による津波の<b>おそれはありません</b>。	E rằng xảy ra sóng thần do động đất.					suyluan.suydoan
とみえて	Dựa vào vẻ/dáng	よるおそく雨が降った<b>と見えて</b>、庭がぬれている。	Tối qua mưa thế này thì chắc đường ướt.					suyluan.suydoan
にちがいない	Không thể khác được	<div>これが合言葉だった<b>に違いない</b>。</div>	Đây chắc chắn là mật khẩu rồi.					suyluan.suydoan
はずだ	Có lẽ	「わあ、おいしいワインね。」「おいしいはずですよ。高いワインなんですから。」	Wa, rượu ngon nhỉ. Có lẽ là ngon đấy. Rượu đắt mà.					suyluan.suydoan
しろ	“hãy”, mệnh lệnh	先生にもっと勉強しろと言われた。	"Tôi bị giáo viên nói là ""Hãy chăm học hơn nữa"""	母の手紙にはいつも体を大切にしろと書いてあります。	Trong thư của mẹ tôi có viết là luôn giữ gìn sức khỏe nhé.	Nhóm I: Vる→Vえ<br>Nhóm II: Vろ<br>Nhóm III: する→しろ /&nbsp;来る→来い<br><br>Là một cách thể hiện mệnh lệnh cấm đoán mạnh, thường chỉ có nam giới sử dụng. Ngoài ra, còn dùng trong một số trường hợp như la hét cổ vũ trong thể thao, in ấn trên các banner, khẩu hiệu,… hoặc hướng dẫn ý nghĩa của biển báo, tín hiệu…		trichdan
って	Truyền đạt	<div><div>小川さん、今日は休むって言ってたよ。</div></div>	<div><div>Chị Ogawa bảo là hôm nay sẽ nghỉ đấy.</div></div>	<div>佐藤さんの奥さんは料理の先生だって。</div>	Thấy bảo vợ anh Sato là giáo viên dạy nấu ăn.	<div><div>Sử dụng trong câu trích dẫn, là cách nói rút gọn của 「言っている・聞いたなど」.</div></div>		trichdan
という	Giải thích	母から来月日本へ来るという手紙が来ました。	Thư mẹ nói rằng tháng sau đến Nhật đã đến.					trichdan
な	“đừng”, Cấm đoán	父は私にタバコを吸うなといいます。	Bố tôi nói với tôi là cấm được hút thuốc lá.					trichdan
させる	Gây ra, làm cho	関東地方の上に曇りがかかっていますが、これは雨を降らせる曇りではありません。	Sấm sét khắp vùng Kanto nhưng không phải là sấm gây ra bởi mưa.					saikhien
と考えられる　・と思われる	Tự phát (được nghĩ, được cảm nhận rằng)	今年の夏は野菜が高くなると思われます。	<div>Tôi cho rằng mùa hè năm nay, giá rau sẽ tăng cao.</div>	このままでは、日本の映画産業は落ち込む山方だと考えられる。	Cứ cái đà này thì có thể nghĩ rằng nền công nghiệp điện ảnh của Nhật Bản sẽ ngày càng đi xuống.	<div>Dùng khi nêu suy nghĩ của mình lên như một điều gì khách quan dựa trên một vài căn cứ.</div>		bidong
お～だ	dạng lịch sự	特急券をお持ちですか。	Bạn có mang vé tàu tốc hành không?					danglichsu
に対して	Đối với (đối tượng)	小林先生は勉強が嫌いな学生に対して、特に親しみをもって接していた。	Thầy Kobayashi quan tâm rất chu đáo đối với những học sinh ghét việc học.					doituong
について	Về (chủ đề)	この町の歴史について調べています。	Tôi đang tìm hiểu về lịch sử của vùng này.	今回の計画については実現を危ぶむ向きもある。	Đối với kế hoạch lần này, cũng có những người lo lắng về khả năng thực hiện.	N ＋ について<br><br>Diễn tả ý nghĩa “liên quan tới cái đó”. Khi bổ nghĩa cho danh từ, thì có dạng N について のN. Khi nói lịch sự, thì trở thành 「つきまして」. Đưa ra chủ đề ( Về nội dung gì, liên quan đến vấn đề gì…) và thường đi với các động từ như「思う・考える・話す・聞く・調べる・書く・説明する・知っている」.		doituong
むきに	Thích hợp với	これはお年寄り向きに柔らかく煮た料理です。	Đây là món ăn được hầm nhừ thích hợp với người cao tuổi.					doituong
向けに	Dành cho	これは幼児<b>向けに</b>書かれた本です。	Đây là cuốn sách được viết dành cho trẻ em.					doituong
Nって	Cái, người	「PCって何ですか。」「パソコンのことです。」	“PC”, là cái gì vậy? Là máy tính cá nhân đó.					chude
というのは	Là	教育ママというのは自分の子供の教育に熱心な母親のことです。	Người mẹ - người thầy là người mẹ tự dạy con của mình đầy nhiệt huyết.			<div><div>Cách nói này đồng nghĩa với「...ということは...（ということ）だ」.<br></div></div>		chude
にかけては	Nhắc tới ...là phải kể tới	走ることにかけては、だれにも負けないつもりだ。	Về môn chạy thì tôi quyết là sẽ không thua ai.	数学にかけては、彼女はクラスでいつも一番だった。	Nói về môn Toán thì anh ấy lúc nào cũng là nhất.	N + にかけては<br><br>Cấu trúc đi kèm với từ thể hiện năng lực, kĩ thuật. Câu mang ý nghĩa có năng lực giỏi nhất về điều gì.		chude
によって	Phương pháp, cách thức	その問題は話し合いによって解決できると思います。	Tôi nghĩ vấn đề này có thể giải quyết được bằng cách nói chuyện với nhau.					phuongphap
によって	Bị động	この建物は有名な建築家によって設計された。	Tòa nhà này thiết kế bởi một kiến trúc sư nổi tiếng .	敵の反撃によって苦しめられた。	Chúng tôi đã chịu nhiều khổ sở do phản kích của kẻ địch.	"<div><div>N + によって<br>N + により&nbsp;<br>N + による<br></div></div><div><br></div><div><div>Trong câu bị động, khi động từ bị động diễn tả ý nghĩa ""sản sinh ra cái gì đó"", chẳng hạn như 「作る」、「書く」thì ta không dùng 「に」mà dùng「によって」để biểu thị chủ thể của hành động.「により」là dạng trang trọng của「によって」.</div></div>"		phuongphap
によると	Theo	テレビの長期予報によると、今年の夏は特に東北地方において冷夏が予想されるそうです。	Theo dự báo dài hạn trên TV thì mùa hè năm nay vùng đông bắc rất mát.					phuongphap
を通じて（をつうじて）	Qua (Phương tiện&nbsp;)					N&nbsp;+ を通じて<div><br></div><div>Những cái được truyền đạt là thông tin, câu chuyện, liên lạc. Cấu trúc này không sử dụng cho phương tiện giao thông.</div>		phamvi
を通して（をとおして）	Thông qua (Phương tiện)	社長に会うときは、秘書を通してアポイントメントを取ってください。	Khi gặp giám đốc, hãy đặt lịch hẹn qua thư kí.					phamvi
から～にかけて	Từ ~ đến ~	このスタイルは１９７０年代から１９８０年代にかけて流行したものだ。	Phong cách này thịnh hành vào khoảng những năm 70-80.					phamvi
だけ	Chỉ	テーブルの上の物は食べたいだけ食べてもかまわないんですよ。	Chỉ ăn những đồ muốn ăn trên bàn thôi cũng được.					phamvi
にわたって	<div><div>Suốt…, trong suốt…, trải khắp….</div></div>	山田さんは病気のため、２か月にわたって学校を休んだ。	Anh Yamada do bị bệnh nên đã nghỉ học trong suốt hai tháng.	広範囲にわたって海の汚染が、問題になっている。	Biển ô nhiễm trong cả phạm vi rộng lớn là một vấn đề nghiêm trọng.	<div>N&nbsp;+ にわたって</div><div>N&nbsp;+ にわたる +&nbsp;N</div>		phamvi
を通じて（をつうじて）	Trong suốt (Thời gian)	この地方は１年を通じてほとんど同じような天候です。	Vùng này khí hậu suốt một năm gần như vẫn thế.	この地域は一年を通じて暖かくて、とても過ごしやすい。	Vùng đất này ấm áp quanh năm nên rất dễ để sinh sống.	Cấu trúc biểu thị ý trong một khoảng thời gian, một trạng thái diễn ra không đổi, thường được gắn vào những danh từ chỉ thời gian, để diễn tả ý nghĩa “suốt một khoảng thời gian nhất định nào đó”. Đây là cách nói mang tính chất văn viết.	N + を通じて	phamvi
Thời gian を通して（をとおして）	Trong suốt					"N + をとおして<br><br>Đi với từ chỉ kì hạn để diễn tả ý nghĩa ""suốt kì hạn đó"", ""trong phạm vi kì hạn đó"". Diễn tả một hành vi liên tục suốt trong một khoảng thời gian."		phamvi
（ただ）～だけでなく	Không chỉ ...mà còn (một bộ phận – toàn bộ)	ただ東京市民だけでなく、全国民が今度の土地事選（ことせん）に関心を持っている。	Không chỉ nhân dân Tokyo, cả nước đều quan tâm đến việc bầu cử đợt này.					menhdebosung
ばかりでなく	Không chỉ ...mà còn (A – B,C,D...)	私たちは日本語ばかりでなく、英語や数学の授業も受けています。	Chúng tôi không chỉ theo học tiếng Nhật mà còn đi học tiếng Anh và Toán.					menhdebosung
うえに	<div><div>Hơn nữa, đã...lại.</div></div>	遊部は道に迷った上、雨にも降られて大変でした。	Đã bị mưa ướt, mà chơi lại bị lạc đường.	今年は冷夏である上に台風の被害も大きくて、野菜は異常な高値を記録している。	Năm nay mùa hè nhiệt độ đã thấp, thiệt hại do bão gây ra lại lớn, nên giá rau quả tăng cao đến mức dị thường.	<div>Diễn tả một trạng thái hay sự việc nào đó xảy ra nhưng lại có một sự việc hay trạng thái khác xảy ra tiếp. Trong trường hợp đi với danh từ thì có hình thức「Nである/だった/であった」 được đặt ở đầu câu hoặc mệnh đề.</div>		menhdebosung
